HGNC	Module_Label
NUTF2	-
NUP93	-
TSNAXIP1	-
NFAT5	-
LONP2	-
N4BP1	-
CBLN1	-
ZNF423	-
DHODH	-
ACD	-
POLR2C	-
NME3	-
VAC14	-
TMCO7	-
SMPD3	-
ESRP2	-
FA2H	-
MON1B	-
C16ORF61	-
HCFC1R1	-
NPRL3	-
MLYCD	-
MPG	-
HSDL1	-
COTL1	-
NME4	-
NOMO3	-
NARFL	-
MTHFSD	-
CLCN7	-
SLC7A5	-
FBXO31	-
NUBP1	-
EEF2K	-
SOLH	-
PIEZO1	-
EARS2	-
GGA2	-
CPPED1	-
USP31	-
CORO7	-
TOX3	-
RBL2	-
XYLT1	-
RPGRIP1L	-
CDIPT	-
BCKDK	-
KAT8	-
AAGAB	-
LACTB	-
TRIP4	-
MTFMT	-
IGDCC4	-
CD276	-
RPAP1	-
TMEM87A	-
ZFP106	-
CEP152	-
OCA2	-
DTWD1	-
GABPB1	-
BMF	-
SCG3	-
DNAJC17	-
EIF3J	-
SPG11	-
RHOV	-
VPS18	-
SLC30A4	-
PLDN	-
MYEF2	-
SGK3	-
PDGFRL	-
ZDHHC2	-
BRF2	-
TRIM35	-
ZFAND1	-
FZD3	-
RIPK2	-
EYA1	-
NBN	-
TRPA1	-
DECR1	-
IMPAD1	-
POP1	-
IKBKB	-
JPH1	-
FAM164A	-
IL7	-
STMN2	-
ARMC1	-
CHRAC1	-
SNX16	-
PYCRL	-
SQLE	-
SH2D4A	-
INTS10	-
DCTN6	-
ERICH1	-
TUSC3	-
NEFL	-
KLHDC4	-
ASAH1	-
BNIP3L	-
NUCB1	-
DHDH	-
MAP4K1	-
ECH1	-
NFKBIB	-
SNRNP70	-
RELB	-
PPP1R37	-
PIH1D1	-
CKM	-
PEX11G	-
ERCC2	-
PLEKHJ1	-
KLC3	-
SF3A2	-
AMH	-
STX10	-
FCER2	-
TBC1D17	-
CCDC130	-
AES	-
MED25	-
LILRA1	-
SNAPC2	-
CCDC61	-
IL27RA	-
TNNT1	-
VRK3	-
PPP6R1	-
OLFM2	-
ZNF419	-
AURKC	-
C19ORF2	-
PDCD5	-
ANKRD27	-
TIMM50	-
AKT2	-
PRX	-
TBCB	-
FSD1	-
ZFR2	-
TJP3	-
CCDC9	-
BBC3	-
DENND3	-
ATP5SL	-
MRPL4	-
NKG7	-
ETFB	-
TYK2	-
CDC37	-
RABAC1	-
MEIS3	-
CNFN	-
MEGF8	-
ZNF175	-
DBP	-
TMEM205	-
RASIP1	-
BCAT2	-
PPP2R1A	-
C19ORF56	-
KLF1	-
DNASE2	-
MAST1	-
LENG1	-
TFPT	-
KCNN1	-
PIK3R2	-
PDE4C	-
ISYNA1	-
ELL	-
CRTC1	-
USF2	-
C19ORF50	-
SUGP1	-
PBX4	-
ETHE1	-
SMG9	-
AVL9	-
RUNDC3B	-
C7ORF63	-
RASA4	-
DNAJC2	-
TWISTNB	-
HBP1	-
DUS4L	-
WDR91	-
DLX5	-
MPP6	-
ATP6V0A4	-
TTC26	-
OGDH	-
CAV2	-
CAV1	-
MET	-
RNF32	-
LMBR1	-
NHP2P1	-
WNT2	-
BRAT1	-
SSBP1	-
HIBADH	-
CPVL	-
GRB10	-
ABHD11	-
CASP2	-
CHCHD2	-
PDAP1	-
SNX8	-
TAF6	-
WASL	-
AIMP2	-
FSCN3	-
MOSPD3	-
USP42	-
SERPINE1	-
AP1S1	-
C1GALT1	-
RPA3	-
ZNHIT1	-
CLDN15	-
PHF14	-
TMEM106B	-
ZNF862	-
MEST	-
ANKMY2	-
ACTR3C	-
TSPAN13	-
AGR2	-
AHR	-
GIMAP2	-
TMEM176B	-
MRPL32	-
C7ORF44	-
BLVRA	-
URGCP	-
PRKAG2	-
GCK	-
YKT6	-
TBL2	-
GALNTL5	-
EIF4H	-
LIMK1	-
C9ORF68	-
LHX2	-
FKTN	-
CNTNAP3	-
SPIN1	-
C9ORF95	-
C9ORF5	-
MEGF9	-
TLE4	-
PTGR1	-
SUSD1	-
KIAA1432	-
KDM4C	-
ELAVL2	-
TESK1	-
CA9	-
CREB3	-
RGP1	-
DDX58	-
EDF1	-
NPDC1	-
APBA1	-
SETX	-
SH3GL2	-
PTGDS	-
ABCA2	-
EXOSC3	-
ZFAND5	-
DVL1	-
CCNJ	-
HPS1	-
PHYH	-
RAB11FIP2	-
ERLIN1	-
DDX50	-
SEC23IP	-
NSMCE4A	-
MICU1	-
BMPR1A	-
C10ORF2	-
LZTS2	-
SFXN3	-
KAZALD1	-
FBXW4	-
NPM3	-
TNKS2	-
GBF1	-
ARHGAP21	-
CPEB3	-
FBXL15	-
ANKRD26	-
ACBD5	-
C10ORF137	-
BCCIP	-
MTPAP	-
SH3PXD2A	-
MAP3K8	-
DKK1	-
EBF3	-
SORCS1	-
SHOC2	-
CUL2	-
CCNY	-
PPIF	-
PBLD	-
TSPAN14	-
TBC1D12	-
KRT23	-
