"","Batch","Treatment","wellID","Image_ID","ind_type","Measurement"
"822","2","TG003","5","11","GFP",560.626551744002
"823","2","TG003","5","13","GFP",216.072728510444
"824","2","TG003","5","14","GFP",329.449678718945
"825","2","TG003","5","15","GFP",511.346372713414
"826","2","TG003","5","4","GFP",220.037302547011
"827","2","TG003","5","9","GFP",153.11194195528
"832","2","TG003","5","19","GFP",943.48417317626
"833","2","TG003","5","5","GFP",506.378377468098
"842","2","TG003","6","1","MKO2",349.335659158594
"843","2","TG003","6","10","MKO2",157.55208547192
"844","2","TG003","6","16","MKO2",244.645180105057
"845","2","TG003","6","18","MKO2",554.836809502363
"846","2","TG003","6","3","MKO2",310.317849910945
"852","2","TG003","6","11","MKO2",571.501539528876
"853","2","TG003","6","15","MKO2",1042.87579258431
"854","2","TG003","6","2","MKO2",599.048913898301
"855","2","TG003","6","21","MKO2",480.759422143269
"856","2","TG003","6","22","MKO2",1168.90378798434
"857","2","TG003","6","23","MKO2",1110.92630979056
"858","2","TG003","6","24","MKO2",369.343375004023
"836","2","TG003","6","10","GFP",677.923450298511
"837","2","TG003","6","4","GFP",145.613737671662
"838","2","TG003","6","5","GFP",804.32059288891
"839","2","TG003","6","7","GFP",323.85058090544
"840","2","TG003","6","8","GFP",131.215947647957
"841","2","TG003","6","9","GFP",100.807499840051
"847","2","TG003","6","1","GFP",832.24662879925
"848","2","TG003","6","13","GFP",820.512924885533
"849","2","TG003","6","14","GFP",379.123832406529
"850","2","TG003","6","17","GFP",285.423733643283
"851","2","TG003","6","19","GFP",1710.33354287102
"861","2","TG003","7","10","MKO2",209.276393609877
"862","2","TG003","7","12","MKO2",341.952847380394
"863","2","TG003","7","8","MKO2",113.32915306776
"864","2","TG003","7","9","MKO2",497.505746992862
"859","2","TG003","7","3","GFP",160.5055817417
"860","2","TG003","7","6","GFP",334.075981555861
"865","2","TG003","7","7","GFP",505.341158577015
"866","2","TG003","7","8","GFP",893.379075699159
"870","2","TG003","8","8","MKO2",408.298073994851
"871","2","TG003","8","9","MKO2",427.886987716667
"872","2","TG003","8","5","MKO2",216.001961695585
"867","2","TG003","8","5","GFP",279.612335385202
"868","2","TG003","8","6","GFP",216.863849274614
"869","2","TG003","8","9","GFP",353.218638372082
"984","2","BDNF","7","1","MKO2",472.964151141815
"985","2","BDNF","7","11","MKO2",637.649778814837
"986","2","BDNF","7","14","MKO2",546.171994363838
"987","2","BDNF","7","16","MKO2",1044.98271439114
"988","2","BDNF","7","17","MKO2",200.062070726242
"989","2","BDNF","7","2","MKO2",936.438568698596
"990","2","BDNF","7","9","MKO2",438.357172836323
"978","2","BDNF","7","1","GFP",217.759534535981
"979","2","BDNF","7","11","GFP",365.78808874053
"980","2","BDNF","7","13","GFP",854.161107672835
"981","2","BDNF","7","6","GFP",284.558674614073
"982","2","BDNF","7","7","GFP",349.480364238493
"983","2","BDNF","7","9","GFP",150.692640314533
"1003","2","BDNF","8","10A","MKO2",245.343878037927
"1004","2","BDNF","8","10B","MKO2",514.63390483355
"1005","2","BDNF","8","11","MKO2",383.719509011287
"1006","2","BDNF","8","15","MKO2",287.010460279481
"1007","2","BDNF","8","16","MKO2",145.606081113623
"1008","2","BDNF","8","19","MKO2",438.657411004342
"1009","2","BDNF","8","2","MKO2",248.465049061724
"1010","2","BDNF","8","3","MKO2",159.168124682598
"1011","2","BDNF","8","4","MKO2",134.560247124551
"1012","2","BDNF","8","5","MKO2",326.703997785882
"1013","2","BDNF","8","6","MKO2",401.91102686736
"1014","2","BDNF","8","8","MKO2",379.89964005462
"991","2","BDNF","8","1","GFP",477.378153534153
"992","2","BDNF","8","10","GFP",158.510880990106
"993","2","BDNF","8","11","GFP",582.131742844511
"994","2","BDNF","8","12","GFP",628.038309824026
"995","2","BDNF","8","13","GFP",594.656567522402
"996","2","BDNF","8","15","GFP",461.947629727225
"997","2","BDNF","8","2","GFP",515.389370122875
"998","2","BDNF","8","3","GFP",286.32707546269
"999","2","BDNF","8","4","GFP",1003.65782455798
"1000","2","BDNF","8","5","GFP",696.475145129236
"1001","2","BDNF","8","8","GFP",344.015143496666
"1002","2","BDNF","8","9","GFP",251.423030439364
"1018","2","BDNF","9","1","MKO2",293.137409821658
"1019","2","BDNF","9","13","MKO2",522.901573864897
"1020","2","BDNF","9","7","MKO2",646.828446223629
"1015","2","BDNF","9","12","GFP",333.261891117573
"1016","2","BDNF","9","19","GFP",205.687309664046
"1017","2","BDNF","9","8","GFP",425.249042730982
"1025","2","BDNF","11","11","MKO2",450.258551504063
"1026","2","BDNF","11","16","MKO2",475.148182663867
"1027","2","BDNF","11","2","MKO2",339.659766253286
"1021","2","BDNF","11","1","GFP",381.943451604632
"1022","2","BDNF","11","11","GFP",540.3682526638
"1023","2","BDNF","11","19","GFP",642.391474157168
"1024","2","BDNF","11","24","GFP",594.367157362606
"1146","2","EFT508","7","10","MKO2",598.985803641482
"1147","2","EFT508","7","4A","MKO2",169.096458615183
"1148","2","EFT508","7","4B","MKO2",504.331394467907
"1149","2","EFT508","7","6","MKO2",671.688764808954
"1150","2","EFT508","7","7","MKO2",527.961991941509
"1151","2","EFT508","7","8","MKO2",277.59466495949
"1152","2","EFT508","7","9A","MKO2",400.670477747416
"1140","2","EFT508","7","1","GFP",444.919551275876
"1141","2","EFT508","7","2","GFP",363.146972304666
"1142","2","EFT508","7","3","GFP",322.702454616795
"1143","2","EFT508","7","4","GFP",142.303235877407
"1144","2","EFT508","7","5","GFP",132.955035922093
"1145","2","EFT508","7","7","GFP",587.898515412034
"1166","2","EFT508","8","3","MKO2",600.843455871217
"1167","2","EFT508","8","6","MKO2",750.199952784325
"1168","2","EFT508","8","7","MKO2",755.051241866543
"1169","2","EFT508","8","8","MKO2",478.17824451404
"1170","2","EFT508","8","9","MKO2",494.529281048963
"1153","2","EFT508","8","1","GFP",259.158362634179
"1154","2","EFT508","8","10","GFP",203.848142000571
"1155","2","EFT508","8","11","GFP",308.286180026831
"1156","2","EFT508","8","12","GFP",675.199425381886
"1157","2","EFT508","8","13","GFP",299.201249107016
"1158","2","EFT508","8","15","GFP",136.124004086631
"1159","2","EFT508","8","18","GFP",286.865755199583
"1160","2","EFT508","8","3","GFP",250.612111451256
"1161","2","EFT508","8","4","GFP",573.631431009824
"1162","2","EFT508","8","6","GFP",664.98299494718
"1163","2","EFT508","8","7","GFP",361.983532899942
"1164","2","EFT508","8","8","GFP",344.089081761705
"1165","2","EFT508","8","9","GFP",366.405191850322
"1177","2","EFT508","9","1","MKO2",232.966929890116
"1178","2","EFT508","9","12","MKO2",238.195022720744
"1179","2","EFT508","9","4","MKO2",314.710196286845
"1180","2","EFT508","9","5","MKO2",960.832288019564
"1181","2","EFT508","9","6","MKO2",503.606555410739
"1182","2","EFT508","9","7","MKO2",223.447883730604
"1183","2","EFT508","9","8","MKO2",159.443535383993
"1184","2","EFT508","9","9","MKO2",557.957980526159
"1171","2","EFT508","9","10","GFP",346.58997822553
"1172","2","EFT508","9","11","GFP",515.745061989675
"1173","2","EFT508","9","3","GFP",453.305784262821
"1174","2","EFT508","9","4","GFP",343.505776334253
"1175","2","EFT508","9","5","GFP",194.32143928302
"1176","2","EFT508","9","8","GFP",392.93066044474
"1188","2","EFT508","13","11","MKO2",437.101310600301
"1189","2","EFT508","13","12","MKO2",329.312630197086
"1190","2","EFT508","13","14","MKO2",615.955256943871
"1191","2","EFT508","13","16","MKO2",357.112445593789
"1192","2","EFT508","13","17","MKO2",345.657323831643
"1185","2","EFT508","13","16","GFP",523.766632894105
"1186","2","EFT508","13","7","GFP",530.244245060396
"1187","2","EFT508","13","8","GFP",571.672385733073
"181","3","DMSO","13","4","MKO2",149.730671816178
"182","3","DMSO","13","5","MKO2",169.595923188628
"183","3","DMSO","13","7","MKO2",169.146498309852
"184","3","DMSO","13","9","MKO2",161.055744345026
"231","3","DMSO","13","10","MKO2",341.724297917573
"232","3","DMSO","13","2","MKO2",104.852082974606
"233","3","DMSO","13","8","MKO2",275.97545429863
"185","3","DMSO","13","2","GFP",388.364292377227
"186","3","DMSO","13","6","GFP",249.592445847866
"187","3","DMSO","13","9","GFP",904.551505651836
"222","3","DMSO","13","1","GFP",602.128358614309
