"","Batch","Treatment","wellID","Image_ID","ind_type","Measurement","Normalized"
"762","1","TG003","1","12","R841X-Correction",259.957139956388,0.915289644854117
"763","1","TG003","1","20","R841X-Correction",770.240152654417,2.71195796312314
"764","1","TG003","1","31","R841X-Correction",565.876300591072,1.99240812653292
"774","1","TG003","1","28","R841X-Correction",359.364072480518,1.26529401858016
"782","1","TG003","2","14","R841X-Mutant",1322.42184626251,4.65614840283288
"783","1","TG003","2","18","R841X-Mutant",414.117128810973,1.45807543436196
"784","1","TG003","2","27","R841X-Mutant",586.66879430031,2.06561694159356
"785","1","TG003","2","28","R841X-Mutant",819.197123842872,2.88433179667021
"786","1","TG003","2","29","R841X-Mutant",975.318015766712,3.4340217792083
"787","1","TG003","2","7","R841X-Mutant",226.873778030278,0.798805602165351
"790","1","TG003","2","11","R841X-Mutant",949.301914334704,3.34242103208442
"776","1","TG003","2","11","R841X-Correction",257.676200495179,0.907258627626685
"777","1","TG003","2","12","R841X-Correction",460.510093278783,1.6214215920347
"778","1","TG003","2","16","R841X-Correction",348.649102891622,1.22756741214308
"779","1","TG003","2","16b","R841X-Correction",403.765507646915,1.42162815055008
"780","1","TG003","2","3","R841X-Correction",679.818071660766,2.39358857956424
"781","1","TG003","2","38","R841X-Correction",140.991919942604,0.496422003847312
"788","1","TG003","2","1","R841X-Correction",625.126267794626,2.20102282912758
"789","1","TG003","2","5","R841X-Correction",535.809545191561,1.88654532978054
"799","1","TG003","3","10","R841X-Mutant",268.012508543159,0.943651995102284
"800","1","TG003","3","11","R841X-Mutant",309.277459569679,1.08894280102638
"801","1","TG003","3","12","R841X-Mutant",490.167560905221,1.72584331715304
"802","1","TG003","3","13","R841X-Mutant",721.046053554766,2.53874921993804
"803","1","TG003","3","15","R841X-Mutant",627.167452029282,2.20820968613614
"804","1","TG003","3","20","R841X-Mutant",804.311622673195,2.83192106049518
"805","1","TG003","3","6","R841X-Mutant",117.813922274959,0.414814007786086
"806","1","TG003","3","9","R841X-Mutant",498.266241524873,1.75435816582921
"807","1","TG003","3","17","R841X-Mutant",643.650507843377,2.26624529271622
"808","1","TG003","3","19","R841X-Mutant",819.569442483426,2.88564270275396
"791","1","TG003","3","1","R841X-Correction",315.230391457477,1.10990262892084
"792","1","TG003","3","14","R841X-Correction",433.259785627193,1.52547529713096
"793","1","TG003","3","15","R841X-Correction",528.720628681017,1.86158578500164
"794","1","TG003","3","16","R841X-Correction",508.128293750458,1.78908171402875
"795","1","TG003","3","17","R841X-Correction",705.775547943812,2.48498291192381
"796","1","TG003","3","18","R841X-Correction",285.163636057966,1.00403983216846
"797","1","TG003","3","19","R841X-Correction",787.511157782502,2.77276788029876
"798","1","TG003","3","3","R841X-Correction",58.3421402762874,0.205418311889686
"815","1","TG003","4","11","R841X-Mutant",641.295630117127,2.2579539443882
"816","1","TG003","4","12","R841X-Mutant",726.715918183128,2.55871238918562
"817","1","TG003","4","13","R841X-Mutant",649.572813499017,2.28709728793812
"818","1","TG003","4","16","R841X-Mutant",1199.67372642458,4.22396145450817
"819","1","TG003","4","5","R841X-Mutant",421.273640686196,1.48327297736372
"820","1","TG003","4","6","R841X-Mutant",604.740434543106,2.12924583512015
"821","1","TG003","4","7","R841X-Mutant",231.272467306539,0.814293058082769
"809","1","TG003","4","10","R841X-Correction",454.594130523505,1.60059192969053
"810","1","TG003","4","12","R841X-Correction",336.921741878263,1.18627625122788
"811","1","TG003","4","14","R841X-Correction",501.722762056704,1.76652831607222
"812","1","TG003","4","15","R841X-Correction",281.700772625773,0.991847349047734
"813","1","TG003","4","16","R841X-Correction",314.442442143488,1.10712831832532
"814","1","TG003","4","6","R841X-Correction",581.088181053065,2.04596801978285
"932","1","BDNF","1","14","R841X-Mutant",536.366709494714,1.88850706361576
"933","1","BDNF","1","15","R841X-Mutant",214.961571354319,0.756863613498694
"934","1","BDNF","1","17","R841X-Mutant",1036.2547889958,3.64857559964487
"935","1","BDNF","1","2","R841X-Mutant",565.103664393162,1.98968773227368
"936","1","BDNF","1","22","R841X-Mutant",755.058898424583,2.65850590254578
"926","1","BDNF","1","10","R841X-Correction",431.483728220538,1.51922193185216
"927","1","BDNF","1","11","R841X-Correction",273.734655420121,0.963799246236437
"928","1","BDNF","1","12","R841X-Correction",606.116174392405,2.13408971222346
"929","1","BDNF","1","20","R841X-Correction",315.556770749794,1.11105178599575
"930","1","BDNF","1","21","R841X-Correction",638.605402882844,2.24848185552672
"931","1","BDNF","1","23","R841X-Correction",889.571348408393,3.13211417733598
