"exp_ID" "wellID" "Lawn" "individual" "lineID" "ind_type" "SHANK2_gtype" "ind_desc" "Color" "Family" "imagebatchID" "imageID" "Syn_Number" "Dend_Length" "Setup" "Line" "FamilyType" "ind_desc_paper" "line_desc_paper" "comparison_var" "comparison_label" "growth_condition"
"1" 7 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "3" 0.476085750947556 0.910247274835127 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 7 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "4" 0.562646796574384 0.656318154246457 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 7 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "6" 0.952171501895112 0.558922657420705 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 7 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "7" 1.12529359314877 0.957952750606749 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 7 "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 1 "2" 0.692488365014627 0.526700877663514 "EXP" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 7 "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 1 "4" 1.08201307033535 1.34122833040881 "EXP" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 7 "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 1 "6" 1.5148182984695 1.07416076201214 "EXP" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 8 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "1" 1.72545407906391 1.26303828284996 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 8 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "2" 1.80962257072557 0.704583624592752 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 8 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "3" 1.34669586658647 0.942023132365175 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
